People,Food,Event,Activity,Travel,Transportation,Utility,Cash,Illegal/Sarcasm
friend,food,birthday,ball,beach,lyft,bill,atm ,addiction
friendship,bbq,christmas,boat,place,uber,cable,bank ,drug
baby,bean,happy,bar,la,cab,fee,cash ,wangs
boy,latte,bday,book,world,bus,electric,money,weed
girl,breakfast,wedding,club,hotel,car,electricity,buck,anal
help,brunch,xmas,card,trip,gas,internet,wallet,bj
like,burger,holiday,dance,vega,taxi,rent,monies,blowjob
love,burrito,hbd,football,tahoe,ride,wifi,tip,boob
mom,cake,halloween,fun,nyc,rental ,utility,dollar,booty
save,cheese,thanksgiving,game,dc,train,tax,payback,blow
sweet,chicken,bachelor,gift,sf,über,refund,lettuce,cocaine
tank,coffee,gift,golf,island,ubers,house,watch,cock
thank,chip,donation,hair,cabo,gasolina,billz,hat,dirty
thanks,chinese,charity,pt,chicago,airport,deposit,supreme,dd
thx,chipotle,aid,movie,airbnb,fuel,pg,bitcoin,crack
ya,cream,nye,lesson,travel ,cruise,tv,robinhood,bang
yo,costco,festivity,park,boston ,air,paper,balance,dank
lol,dinner,formal,party,hostel,limo,comcast,expenses,dick
jj,drink,shower ,poker,retreat,bike,light,switch,fart
lyfe,drank,photo,pool,nola,bp,phone,extra,fuck
bro,eat,present,ticket,miami,shuttle,power,rmb,gay
brother,din,graduation,fantasy,mexico,zipcar,due,reimbursement,hooker
bud,dranks,homecoming,tix,cancun ,transportation,home,toner,meth
buddy,fry,celebration,bowl,city,parking,clean,free,lube
dad,grocery,detective day,show,austin ,valet,security,pay,nude
daddy,ice,hamilton,night,sd,uhaul,room,exchange,otphj
dude,juice,friday,day,cabin ,vroom,splitwise,Ethereum,kale 
fam,lunch,appointment,week,chi,tailgate,service,change,penis
family,meat,summer,weekend,iceland,drive,laundry,btc,pat
father,pizza,late,cover,thailand ,pool ,pge,online,porn
duh,salad,rose,hookah,road,carpool ,verizon,venmo,pot
gracias,snack,autumn,camp,Johannesburg,flight ,insurance,cashback,pussy
people,supply,friyay,concert,Cape,beep,tp,purchase,sex
ty,sushi,HAIM,bowling,sb,move,att,debit,sexual
luv,taco,grad,ski,casino,shipping,cox,dividend,strip
babe,thai,nba ,coachella,weekend away,toll,membership,crypto,stripper
cool,tip,nets ,league,beach house,limo ,plug,,slut
guy,water,aperitivo,bball,redwood,ubes,prime,,lash
angel,wine,FantasyBall,soccer,postcard,gasoline,h2o,,titty
bb,booze,karoak,softball,voyage,ups,xfinity,,tit
boi,pho,,baseball,rosslyn,fedex,pepco,,tot
bruh,wing,,gym,Avalon ,fastrak,housing,,poop
ha,yum,,massage,michigan,muni,renter,,pop
ily,dog,,hockey,detroit,bart,heat,,poop
mother,hot,,adventure,Camping,go,agua,,bullshit
cocktail,bottle,,derby,San Diego,cabbie,peco,,deez
scream,boba,,band,vegas,turo,check,,condom 
miss,bagel,,fancy,fly,mail,charter,,sack
princess,brew,,hunt,los angles,,netflix,,5 sack 
doggie,grub,,kickball,silicon valley,,sdge,,fagg
thank u,vino,,edc,salt city,,fridge,,nigga
xxlb,alcohol,,comedy,beijing,,ikea,,bos
please,egg,,warner,chongqing,,bge,,asian
behalf,sandwich,,lotto,changsha,,interwebs,,bae
hepp,cooky,,tourney,wuhan,,amazon ,,midget
pet,milk,,funday,shanghai,,apartment,,blood
man,tea,,karaoke,guangzhou,,apt,,damn
papa,pie,,play,tianjing,,babysitting,,debt
fan,steak,,pong,seattle,,cleaning,,interest
blonde,soup,,basketball,sun,,cleaner,,rip
customer,feed,,bull,sea,,furniture,,line
,tequila,,activity,ocean,,lift,,yay
,fish,,yoga,greece,,casa,,ye
,comida,,bach,,,cell,,yey
,ramen,,bracket,,,energy,,sexy
,sugar,,clothes,,,twc,,shit
,roll,,fifa,,,drycleaning,,shitty
,cafe,,fight ,,,coned,,shenanigan
,sauce,,gamble,,,spotify,,allowance
,nacho,,haircut,,,bed,,idiot
,foooood,,madness,,,garbage,,alc
,fooooood,,draft,,,bills,,gash
,fooood,,dope,,,dte,,whore
,donut,,ff,,,table,,G6
,foodz,,ballin,,,trash,,foot massage
,starbucks,,music,,,apple,,wood
,candy,,ncaa,,,delivery,,america
,noodle,,shopping,,,bag,,cool
,meal,,shoe,,,usps,,loan shark
,soda,,trivia,,,com,,da
,grill,,sport,,,ac,,life
,bfast,,mountaineer,,,carpet,,lyfe
,nut,,date,,,cat,,betch
,chick,,tutor,,,chair,,af
,drunk,,foxfield ,,,couch,,fool
,yummy,,flower,,,dry,,bird
,banquet,,duke ,,,essential,,bomb
,dumpling,,bet,,,garden,,bootihole
,poke,,giant,,,grid,,clutch
,coke,,giants,,,key,,death
,brownie,,lakers,,,kitchen,,dub
,cookout,,lake,,,lady,,dumb 
,spicy,,mountain ,,,lawn,,fat
,protein,,river,,,maid,,golden
,queso,,fest,,,prime,,hand
,pork,,art,,,puppy,,handy
,mango,,shark,,,rack,,hoe
,tofu,,shirt,,,shelter,,hole
,pasta,,board,,,storage,,homie
,coco,,class,,,textbook,,horse
,panera,,coach,,,tj,,jew
,veggie,,cup,,,toilet,,job
,cookie,,dress,,,towel,,kick
,milkshake,,escape,,,tube,,kiss
,nugget,,flag,,,wash,,loser
,chili,,gear,,,iphone,,stupid
,feast,,horse,,,edison,,lap
,liquor,,jacket,,,mask,,pee
,diner,,jam,,,chopsticks,,sugar mama
,cupcake,,jersey,,,tmobile,,meow
,margarita,,sweater,,,dresser,,mo
,bun,,sweatshirt,,,oil change,,poor
